date,site,field,point,latitude,longitude,plant_no,sr_incidence_category,sr_incidence_pct,sr_severity_e_minus_1,sr_severity_e,sr_severity_e_plus_1,ear_rot_incidence_pct,ear_rot_severity,notes
2025-08-26,pds,3300,7,43.345255,-89.703327,2,High,,1,1,1,,,
2025-08-26,pds,3300,7,43.345255,-89.703327,3,High,,3,2,1,,,
2025-08-26,pds,3300,7,43.345255,-89.703327,4,High,,2,1,1,,,
2025-08-26,pds,3300,7,43.345255,-89.703327,5,High,,1,0,1,,,
2025-08-26,pds,3300,8,43.345692,-89.703254,1,All(hotspot),,2,1,1,,,
2025-08-26,pds,3300,8,43.345692,-89.703254,2,All(hotspot),,1,1,0,,,
2025-08-26,pds,3300,8,43.345692,-89.703254,3,All(hotspot),,1,1,1,,,
2025-08-26,pds,3300,8,43.345692,-89.703254,4,All(hotspot),,2,1,1,,,
2025-08-26,pds,3300,8,43.345692,-89.703254,5,All(hotspot),,2,2,1,,,
2025-08-26,pds,8710,1,43.34966,-89.751468,1,High,,1,1,1,,,
2025-08-26,pds,8710,1,43.34966,-89.751468,2,High,,1,1,,,,
2025-08-26,pds,8710,1,43.34966,-89.751468,3,High,,1,1,,,,
2025-08-26,pds,8710,1,43.34966,-89.751468,4,High,,1,1,,,,
2025-08-26,pds,8710,1,43.34966,-89.751468,5,High,,1,1,1,,,
2025-08-26,pds,8710,2,43.349653,-89.751192,1,All,,3,2,1,,,
2025-08-26,pds,8710,2,43.349653,-89.751192,2,All,,1,1,1,,,
2025-08-26,pds,8710,2,43.349653,-89.751192,3,All,,2,1,1,,,
2025-08-26,pds,8710,2,43.349653,-89.751192,4,All,,3,1,1,,,
2025-08-26,pds,8710,2,43.349653,-89.751192,5,All,,2,1,0,,,
2025-08-26,pds,8710,3,43.349375,-89.751068,1,,,,,,,,
2025-08-26,pds,8710,3,43.349375,-89.751068,2,,,,,,,,
2025-08-26,pds,8710,3,43.349375,-89.751068,3,,,,,,,,
2025-08-26,pds,8710,3,43.349375,-89.751068,4,,,,,,,,
2025-08-26,pds,8710,3,43.349375,-89.751068,5,,,,,,,,
2025-08-26,pds,8710,4,43.349186,-89.751069,1,All,,1,2,1,,,
2025-08-26,pds,8710,4,43.349186,-89.751069,2,All,,2,,,,,
2025-08-26,pds,8710,4,43.349186,-89.751069,3,All,,2,1,2,,,
2025-08-26,pds,8710,4,43.349186,-89.751069,4,All,,1,1,1,,,
2025-08-26,pds,8710,4,43.349186,-89.751069,5,All,,1,3,1,,,
2025-08-26,pds,8710,5,43.348694,-89.750901,1,Low,,1,,,3,,
2025-08-26,pds,8710,5,43.348694,-89.750901,2,Low,,,1,,3,,
2025-08-26,pds,8710,5,43.348694,-89.750901,3,Low,,,,,3,,
2025-08-26,pds,8710,5,43.348694,-89.750901,4,Low,,,1,,3,,
2025-08-26,pds,8710,5,43.348694,-89.750901,5,Low,,,,,3,,
2025-08-26,pds,8710,6,43.348693,-89.751089,1,All,,3,3,2,4,,
2025-08-26,pds,8710,6,43.348693,-89.751089,2,All,,3,3,3,4,,
2025-08-26,pds,8710,6,43.348693,-89.751089,3,All,,2,1,1,4,,
2025-08-26,pds,8710,6,43.348693,-89.751089,4,All,,1,,1,4,,
2025-08-26,pds,8710,6,43.348693,-89.751089,5,All,,2,1,1,4,,
2025-08-26,pds,8710,7,43.347669,-89.751264,1,All,,3,2,1,5,,
2025-08-26,pds,8710,7,43.347669,-89.751264,2,All,,1,1,1,5,,
2025-08-26,pds,8710,7,43.347669,-89.751264,3,All,,2,2,1,5,,
2025-08-26,pds,8710,7,43.347669,-89.751264,4,All,,3,2,2,5,,
2025-08-26,pds,8710,7,43.347669,-89.751264,5,All,,2,2,1,5,,
2025-08-26,pds,8710,8,43.347685,-89.750657,1,High,,2,2,2,,,
2025-08-26,pds,8710,8,43.347685,-89.750657,2,High,,1,2,1,,,
2025-08-26,pds,8710,8,43.347685,-89.750657,3,High,,1,1,1,,,
2025-08-26,pds,8710,8,43.347685,-89.750657,4,High,,1,2,,,,
2025-08-26,pds,8710,8,43.347685,-89.750657,5,High,,,,,,,
2025-08-26,pds,8710,8a,43.347649,-89.751141,1,All,,2,2,1,,,
2025-08-26,pds,8710,8a,43.347649,-89.751141,2,All,,2,1,1,,,
2025-08-26,pds,8710,8a,43.347649,-89.751141,3,All,,1,2,1,,,
2025-08-26,pds,8710,8a,43.347649,-89.751141,4,All,,3,3,2,,,
2025-08-26,pds,8710,8a,43.347649,-89.751141,5,All,,3,2,1,,,
2025-08-26,pds,8710,9,43.347871,-89.750431,1,High,,1,1,1,,,
2025-08-26,pds,8710,9,43.347871,-89.750431,2,High,,2,1,1,,,
2025-08-26,pds,8710,9,43.347871,-89.750431,3,High,,1,1,0,,,
2025-08-26,pds,8710,9,43.347871,-89.750431,4,High,,1,1,1,,,
2025-08-26,pds,8710,9,43.347871,-89.750431,5,High,,1,1,1,,,
2025-08-26,pds,8710,10,43.34825,-89.750892,1,High,,0,1,0,11,,
2025-08-26,pds,8710,10,43.34825,-89.750892,2,High,,1,,,11,,
2025-08-26,pds,8710,10,43.34825,-89.750892,3,High,,1,1,,11,,
2025-08-26,pds,8710,10,43.34825,-89.750892,4,High,,1,1,,11,,
2025-08-26,pds,8710,10,43.34825,-89.750892,5,High,,2,1,1,11,,
2025-09-05,pds,3300,1,43.347038,-89.702899,1,Medium,0.6923,,1,1,,,
2025-09-05,pds,3300,1,43.347038,-89.702899,2,Medium,0.6923,,1,1,,,
2025-09-05,pds,3300,1,43.347038,-89.702899,3,Medium,0.6923,1,2,1,,,
2025-09-05,pds,3300,1,43.347038,-89.702899,4,Medium,0.6923,1,0,2,,,
2025-09-05,pds,3300,1,43.347038,-89.702899,5,Medium,0.6923,,1,1,,,
2025-09-05,pds,3300,2,43.34666,-89.703055,1,Medium,0.5385,0,1,0,,,
2025-09-05,pds,3300,2,43.34666,-89.703055,2,Medium,0.5385,1,1,1,,,
2025-09-05,pds,3300,2,43.34666,-89.703055,3,Medium,0.5385,0,1,1,,,
2025-09-05,pds,3300,2,43.34666,-89.703055,4,Medium,0.5385,0,1,0,,,
2025-09-05,pds,3300,2,43.34666,-89.703055,5,Medium,0.5385,1,1,1,,,
2025-09-05,pds,3300,3,43.346507,-89.702481,1,All,,3,2,1,,,
2025-09-05,pds,3300,3,43.346507,-89.702481,2,All,,3,2,2,,,
2025-09-05,pds,3300,3,43.346507,-89.702481,3,All,,2,1,1,,,
2025-09-05,pds,3300,3,43.346507,-89.702481,4,All,,1,1,1,,,
2025-09-05,pds,3300,3,43.346507,-89.702481,5,All,,2,3,1,,,
2025-09-05,pds,3300,4,43.346337,-89.702125,1,High,,1,1,3,,,
2025-09-05,pds,3300,4,43.346337,-89.702125,2,High,,0,1,0,,,
2025-09-05,pds,3300,4,43.346337,-89.702125,3,High,,1,2,1,,,
2025-09-05,pds,3300,4,43.346337,-89.702125,4,High,,1,1,1,,,
2025-09-05,pds,3300,4,43.346337,-89.702125,5,High,,2,2,1,,,
2025-09-05,pds,3300,5,43.34565,-89.704719,1,All,,1,2,1,,,
2025-09-05,pds,3300,5,43.34565,-89.704719,2,All,,3,1,1,,,
2025-09-05,pds,3300,5,43.34565,-89.704719,3,All,,3,2,2,,,
2025-09-05,pds,3300,5,43.34565,-89.704719,4,All,,2,1,1,,,
2025-09-05,pds,3300,5,43.34565,-89.704719,5,All,,3,1,1,,,
2025-09-05,pds,3300,6,43.347298,-89.73824,1,High,0.9333,0,1,0,,,
2025-09-05,pds,3300,6,43.347298,-89.73824,2,High,0.9333,3,1,1,,,
2025-09-05,pds,3300,6,43.347298,-89.73824,3,High,0.9333,3,2,1,,,
2025-09-05,pds,3300,6,43.347298,-89.73824,4,High,0.9333,2,2,1,,,
2025-09-05,pds,3300,6,43.347298,-89.73824,5,High,0.9333,2,1,0,,,
2025-09-05,pds,3300,7,43.347586,-89.704567,1,High,0.9167,1,1,0,,,
2025-09-05,pds,3300,7,43.347586,-89.704567,2,High,0.9167,1,0,0,,,
2025-09-05,pds,3300,7,43.347586,-89.704567,3,High,0.9167,1,2,2,,,
2025-09-05,pds,3300,7,43.347586,-89.704567,4,High,0.9167,2,1,0,,,
2025-09-05,pds,3300,7,43.347586,-89.704567,5,High,0.9167,0,1,1,,,
2025-09-05,pds,3300,8,43.347301,-89.704388,1,Medium,,1,2,1,,,
2025-09-05,pds,3300,8,43.347301,-89.704388,2,Medium,,1,0,1,,,
2025-09-05,pds,3300,8,43.347301,-89.704388,3,Medium,,1,0,1,,,
2025-09-05,pds,3300,8,43.347301,-89.704388,4,Medium,,1,1,1,,,
2025-09-05,pds,3300,8,43.347301,-89.704388,5,Medium,,0,1,1,,,
2025-09-05,pds,3300,9,43.346888,-89.704286,1,Medium,,0,1,0,,,
2025-09-05,pds,3300,9,43.346888,-89.704286,2,Medium,,1,0,1,,,
2025-09-05,pds,3300,9,43.346888,-89.704286,3,Medium,,0,1,0,,,
2025-09-05,pds,3300,9,43.346888,-89.704286,4,Medium,,1,1,1,,,
2025-09-05,pds,3300,9,43.346888,-89.704286,5,Medium,,0,1,1,,,
2025-09-05,pds,3300,10,43.347095,-89.704694,1,High,,1,1,1,,,
2025-09-05,pds,3300,10,43.347095,-89.704694,2,High,,1,1,2,,,
2025-09-05,pds,3300,10,43.347095,-89.704694,3,High,,1,1,1,,,
2025-09-05,pds,3300,10,43.347095,-89.704694,4,High,,2,0,1,,,
2025-09-05,pds,3300,10,43.347095,-89.704694,5,High,,0,0,0,,,
2025-09-05,pds,3300,11,43.347337,-89.702245,1,All,,0,3,2,,,
2025-09-05,pds,3300,11,43.347337,-89.702245,2,All,,1,2,2,,,
2025-09-05,pds,3300,11,43.347337,-89.702245,3,All,,2,1,2,,,
2025-09-05,pds,3300,11,43.347337,-89.702245,4,All,,3,2,2,,,
2025-09-05,pds,3300,11,43.347337,-89.702245,5,All,,1,2,0,,,
2025-09-05,pds,3300,12,43.346112,-89.702953,1,High,,0,1,1,,,
2025-09-05,pds,3300,12,43.346112,-89.702953,2,High,,1,1,1,,,
2025-09-05,pds,3300,12,43.346112,-89.702953,3,High,,1,1,1,,,
2025-09-05,pds,3300,12,43.346112,-89.702953,4,High,,0,0,0,,,
2025-09-05,pds,3300,12,43.346112,-89.702953,5,High,,1,0,0,,,
